elo_diff,goal_diff_avg,home_form,away_form,h2h_wins,is_knockout,squad_value_ratio,value_log_home,value_log_away,eafc_overall_diff,eafc_physic_diff,eafc_top5_avg_home,venue_altitude_m,is_high_altitude,altitude_penalty,target
0.0,0.0,0.5,0.5,0,0,0.20833333333333334,7.698970004336019,8.380211241711606,-7.5,-4.5,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,539,False,0.0,0
0.0,0.0,0.5,0.5,0,0,5.0,9.0,8.301029995663981,6.5,3.0,87.5,319,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,70,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.25,7.698970004336019,8.301029995663981,-7.0,-4.0,70.0,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,20.0,9.0,7.698970004336019,13.5,7.0,87.5,185,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.07692307692307693,7.698970004336019,8.812913356642856,-12.5,-8.5,70.0,96,False,0.0,0
0.0,0.0,0.5,0.5,0,0,20.0,9.0,7.698970004336019,13.5,7.0,87.5,20,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.045454545454545456,7.698970004336019,9.041392685158225,-14.5,-9.5,70.0,20,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.32,8.380211241711606,8.8750612633917,-5.5,-3.0,81.5,71,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.32,8.380211241711606,8.8750612633917,-5.5,-3.0,81.5,70,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.0,8.301029995663981,7.698970004336019,7.0,4.0,81.0,5,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.15625,7.698970004336019,8.505149978319906,-8.0,-5.0,70.0,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.7083333333333334,8.929418925714293,9.079181246047625,-0.20000000000000284,-3.0,87.5,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.22727272727272727,7.698970004336019,8.342422680822207,-7.0,-3.5,70.0,185,False,0.0,0
0.0,0.0,0.5,0.5,0,0,20.0,9.0,7.698970004336019,13.5,7.0,87.5,70,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0909090909090908,8.380211241711606,8.342422680822207,0.5,1.0,81.5,5,False,0.0,0
0.0,0.0,0.5,0.5,0,0,24.0,9.079181246047625,7.698970004336019,14.0,8.0,88.5,20,False,0.0,0
0.0,0.0,0.5,0.5,0,0,2.65625,8.929418925714293,8.505149978319906,5.799999999999997,0.0,87.5,96,False,0.0,0
0.0,0.0,0.5,0.5,0,0,17.0,8.929418925714293,7.698970004336019,13.799999999999997,5.0,87.5,5,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.26666666666666666,8.505149978319906,9.079181246047625,-6.0,-3.0,81.5,2,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.545454545454546,9.0,8.342422680822207,6.5,3.5,87.5,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.166666666666667,9.0,8.380211241711606,6.0,2.5,87.5,319,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.20833333333333334,7.698970004336019,8.380211241711606,-7.5,-4.5,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.6666666666666667,8.301029995663981,8.079181246047625,2.5,0.5,81.0,1566,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,0.4166666666666667,7.698970004336019,8.079181246047625,-4.5,-3.5,70.0,539,False,0.0,0
0.0,0.0,0.5,0.5,0,0,9.0,8.653212513775344,7.698970004336019,10.0,9.0,84.0,319,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.5294117647058824,8.653212513775344,8.929418925714293,-3.799999999999997,4.0,84.0,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,5.0,9.0,8.301029995663981,6.5,3.0,87.5,70,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.1764705882352942,9.0,8.929418925714293,-0.29999999999999716,2.0,87.5,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,2.25,8.653212513775344,8.301029995663981,3.0,5.0,84.0,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,0.23529411764705882,8.301029995663981,8.929418925714293,-6.799999999999997,-1.0,81.0,96,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.45,8.653212513775344,9.0,-3.5,2.0,84.0,5,False,0.0,0
0.0,0.0,0.5,0.5,0,0,5.0,9.079181246047625,8.380211241711606,6.5,3.5,88.5,12,False,0.0,0
0.0,0.0,0.5,0.5,0,0,4.8,8.380211241711606,7.698970004336019,7.5,4.5,81.5,185,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.75,8.255272505103306,8.380211241711606,-0.5,0.5,80.5,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.375,8.653212513775344,9.079181246047625,-4.0,1.0,84.0,313,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,0.2777777777777778,7.698970004336019,8.255272505103306,-6.0,-2.0,70.0,70,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,2240,True,-0.1,0
0.0,0.0,0.5,0.5,0,0,0.2777777777777778,7.698970004336019,8.255272505103306,-6.0,-2.0,70.0,15,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.0,7.698970004336019,7.698970004336019,0.0,0.0,70.0,96,False,0.0,0
0.0,0.0,0.5,0.5,0,0,9.0,8.653212513775344,7.698970004336019,10.0,9.0,84.0,5,False,0.0,0
0.0,0.0,0.5,0.5,0,0,1.5,8.255272505103306,8.079181246047625,1.5,1.5,80.5,71,False,0.0,0
